Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
07 Vlaardingenwg Sp.br O-schie,Rotterdam,Rotterdam,Rotterdam,51.933425,4.420315,Ja,,,,x,,,,x,
07 Vlaardingenwg Sp.br. Vlaar,Rotterdam,Rotterdam,Rotterdam,51.933425,4.420315,Ja,,,,x,,,,x,
07 Tjalklaan ri A20,Rotterdam,Rotterdam,Rotterdam,51.919589,4.423819,Ja,,,,x,,,,x,
07 Tjalklaan ri Delfshaven,Rotterdam,Rotterdam,Rotterdam,51.919589,4.423819,Ja,,,,x,,,,x,
A13 Li 17.5 Overschie RTD,Rotterdam,Rotterdam,Rotterdam,51.944054,4.424053,Ja,,x,,x,,,,x,
07 Willem Barentszstraat HBR,Rotterdam,Rotterdam,Rotterdam,51.868856,4.424606,Ja,,x,,x,,,,x,
S101 W.Barentszstrt ri Reeweg,Rotterdam,Rotterdam,Albrandswaard,51.868676,4.424884,Ja,,x,,x,,,,x,
A58 Li 95.1 Roosendaal,Zeeland-West-Brabant,Roosendaal,Roosendaal,51.525413,4.426942,Ja,,,,x,,,,,
A17 Li 25.35 Roosendaal,Zeeland-West-Brabant,Roosendaal,Roosendaal,51.525509,4.426973,Ja,,x,,x,,,,x,
KMAR RTD Airportbaan IN,Rotterdam,Rotterdam,Rotterdam,51.94742,4.4284,Ja,,x,,x,,,,,
KMAR RTD Airportbaan IN,Rotterdam,Rotterdam,Rotterdam,51.94742,4.4284,Ja,,x,,,,x,,x,
KMAR RTD Airportbaan UIT,Rotterdam,Rotterdam,Rotterdam,51.94742,4.4284,Ja,,x,,x,,,,,
KMAR RTD Airportbaan UIT,Rotterdam,Rotterdam,Rotterdam,51.94742,4.4284,Ja,,x,,,,x,,x,
07 Vreelustweg ri Delfshaven,Rotterdam,Rotterdam,Rotterdam,51.921285,4.428947,Ja,,,,x,,,,x,
07 Vreelustweg ri Sp. Polder,Rotterdam,Rotterdam,Rotterdam,51.921285,4.428947,Ja,,,,x,,,,x,
S101 Reeweg HBR,Rotterdam,Rotterdam,Rotterdam,51.873324,4.430334,Ja,,x,,x,,,,x,
S101 Reeweg ri W.Barentstrt,Rotterdam,Rotterdam,Rotterdam,51.874961,4.430744,Ja,,x,,x,,,,x,
N492 Gr.Kr.wg x Riv.wg A15,Rotterdam,Rhoon,Albrandswaard,51.86109,4.43075,Ja,,,,x,,,,x,
KMAR RTD Airp. Linatebn West,Rotterdam,Rotterdam,Rotterdam,51.946944,4.430833,Ja,,x,,x,,,,,
KMAR RTD Airp. Linatebn West,Rotterdam,Rotterdam,Rotterdam,51.946944,4.430833,Ja,,x,,,,x,,x,
N492 Gr.Kr.wg x Riv.wg HVT,Rotterdam,Rhoon,Albrandswaard,51.86203,4.43187,Ja,,,,x,,,,x,
07 Waalhavenweg HBR,Rotterdam,Rotterdam,Rotterdam,51.879043,4.432558,Ja,,x,,x,,,,x,
N448 Wijng.laan ri Voorschoten,Den Haag,Voorschoten,Voorschoten,52.12541,4.44279,Ja,,x,,,,,,,
KMAR RTD Airp. Fairoak Oost,Rotterdam,Rotterdam,Rotterdam,51.951278,4.446528,Ja,,x,,x,,,,,
KMAR RTD Airp. Fairoak Oost,Rotterdam,Rotterdam,Rotterdam,51.951278,4.446528,Ja,,x,,,,x,,x,
07 Stadh.weg x v. Aerssenlaan,Rotterdam,Rotterdam,Rotterdam,51.928889,4.454167,Ja,,,,x,,,,x,
07 Jan Olieslagerweg HBR,Rotterdam,Rotterdam,Rotterdam,51.873228,4.45443,Ja,,x,,x,,,,x,
07 Korperweg HBR,Rotterdam,Rotterdam,Rotterdam,51.877278,4.4555,Ja,,x,,x,,,,x,
N471 Hogendorpweg x Maasd.we,Rotterdam,Rotterdam,Rotterdam,51.949444,4.459167,Ja,,,,x,,,,x,
07 Waalhaven noordzijde HBR,Rotterdam,Rotterdam,Rotterdam,51.893685,4.460965,Ja,,x,,x,,,,x,
07 Sluisjesdijk HBR,Rotterdam,Rotterdam,Rotterdam,51.894967,4.461153,Ja,,x,,x,,,,x,
07 Waalhaven oostzijde HBR,Rotterdam,Rotterdam,Rotterdam,51.892803,4.461435,Ja,,x,,x,,,,x,
N447 Voorschoterwg ri Voorburg,Den Haag,Voorschoten,Voorschoten,52.134234,4.463829,Ja,,x,,,,,,,
07 Maastunnel NZ,Rotterdam,Rotterdam,Rotterdam,51.905902,4.466568,Ja,,,,x,,,,x,
07 Maastunnel ZN,Rotterdam,Rotterdam,Rotterdam,51.905902,4.466568,Ja,,,,x,,,,x,
N262 1.5 Essen-Nispen NL IN,Zeeland-West-Brabant,Nispen,Roosendaal,51.481758,4.471988,Ja,,,,x,,x,,x,
N262 1.5 Nispen-Essen NL UIT,Zeeland-West-Brabant,Nispen,Roosendaal,51.481758,4.471988,Ja,,,,x,,x,,x,
N206 x 5Meiln ri Voorschoten,Den Haag,Leiden,Leiden,52.14798,4.47498,Ja,,x,,,,,,,
