Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
02 Zwolle Hassltrwg RA Blalowg,Oost-Nederland,Zwolle,Zwolle,52.514923,6.0702,,Ja,,x,,,,x,,x
N280 Li 25.0 Roermond GO NL IN,Limburg,Roermond,Roermond,51.200278,6.070278,Ja,,,,x,,x,,,
N280 Li 25.0 Roermond GO NL IN,Limburg,Roermond,Roermond,51.200278,6.070278,Ja,,x,,,,,,,
N280 Re 25 Roermond GO NL UI,Limburg,Roermond,Roermond,51.200278,6.070278,Ja,,,,x,,x,,,
N280 Re 25 Roermond GO NL UI,Limburg,Roermond,Roermond,51.200278,6.070278,Ja,,x,,,,,,,
02 Ringbaan N x Lentemorgen,Oost-Nederland,Zevenaar,Zevenaar,51.938056,6.071944,,Ja,,x,,x,,x,,x
10 Bostrt Swalmn Bruggn NL UIT,Limburg,Swalmen,Roermond,51.230718,6.080325,Ja,,,,,,x,,,
10 Bruggn Bostrt Swalmn NL IN,Limburg,Swalmen,Roermond,51.230718,6.080325,Ja,,,,,,x,,,
A 1 Li 94.3 Deventer,Oost-Nederland,Wilp,Wilp,52.214995,6.110704,Ja,,x,,x,,x,,x,
A 1 Re 94.3 Deventer,Oost-Nederland,Wilp,Wilp,52.214827,6.110833,Ja,,x,,x,,x,,x,
N337 IJsselallee ri Wijhe,Oost-Nederland,Zwolle,Zwolle,52.493957,6.113359,Ja,,x,,x,,x,,x,
N337 IJsselallee ri Kampen,Oost-Nederland,Zwolle,Zwolle,52.493156,6.115048,Ja,,x,,x,,x,,x,
N570 Rothenbach Vlodrop NL IN,Limburg,Vlodrop,Roerdalen,51.140601,6.118783,Ja,,x,,x,,x,,x,
N570 Vlodrop Rothenbach NL UIT,Limburg,Vlodrop,Roerdalen,51.140601,6.118783,Ja,,x,,x,,x,,x,
10 Wezerweg ri Duitsland,Limburg,Bergen,Bergen,51.587019,6.123567,Ja,,,,x,,,,,
10 Wezerweg ri Well,Limburg,Bergen,Bergen,51.587019,6.123567,Ja,,x,,x,,x,,x,
N271 Prov.wg x Kal.wg ri Venlo,Limburg,Tegelen,Tegelen,51.338333,6.151111,Ja,,,,x,,,,,
N271 Prov.wg x Kal.wg Roerm,Limburg,Tegelen,Venlo,51.339167,6.151667,Ja,,,,x,,,,,
A12 Re 149.9 Bergh GO,Oost-Nederland,Babberich,Zevenaar,51.904167,6.159444,Ja,,x,,,,,,,
A12 Re 149.9 Bergh GO,Oost-Nederland,Babberich,Zevenaar,51.904167,6.159444,Ja,,x,,x,,x,,x,
A12 Li 149.9 Bergh GO,Oost-Nederland,Babberich,Zevenaar,51.899444,6.164722,Ja,,x,,,,,,,
A12 Li 149.9 Bergh GO,Oost-Nederland,Babberich,Zevenaar,51.899444,6.164722,Ja,,x,,x,,x,,x,
A74 Li 99.9 Tegelen GO NL UIT,Limburg,Tegelen,Venlo,51.333056,6.169167,Ja,,,,x,,x,,,
A74 Li 99.9 Tegelen GO NL UIT,Limburg,Tegelen,Venlo,51.333056,6.169167,Ja,,x,,,,,,,
A74 Re 99.9 Tegelen GO,Limburg,Tegelen,Venlo,51.333333,6.169167,Ja,,,,x,,x,,,
A74 Re 99.9 Tegelen GO,Limburg,Tegelen,Venlo,51.333333,6.169167,Ja,,x,,,,,,,
10 Weselsewg x Nw Goltenwg,Limburg,Venlo,Venlo,51.38366,6.19452,Ja,,,,x,,,,,
10 Weselsewg x Schoolwg,Limburg,Venlo,Venlo,51.38446,6.19539,Ja,,,,x,,,,,
A28 Li 113.4 Lankhorst Utrecht,Oost-Nederland,Staphorst,Staphorst,52.65665,6.198843,Ja,,x,,x,,x,,x,
A32(A28) Re 114.5 Meppel,Oost-Nederland,Staphorst,Staphorst,52.666166,6.198893,Ja,,,,x,,x,,x,
10 Wes.wg x Toerit A67 Dsburg,Limburg,Venlo,Venlo,51.38831,6.19898,Ja,,,,x,,,,,
10 Weselsewg x Toerit A67 EHVN,Limburg,Venlo,Venlo,51.388925,6.199104,Ja,,,,x,,,,,
A28 Re 115.2 Lankhorst Gro,Oost-Nederland,Staphorst,Staphorst,52.672858,6.2025,Ja,,x,,x,,x,,x,
A67 Re 75.1 Venlo GO NL Uit,Limburg,Venlo,Venlo,51.386111,6.209444,Ja,,,,x,,x,,,
A67 Re 75.1 Venlo GO NL Uit,Limburg,Venlo,Venlo,51.386111,6.209444,Ja,,x,,,,,,,
A67 Li 75.1 Venlo GO NL In,Limburg,Venlo,Venlo,51.384167,6.215833,Ja,,,,x,,x,,,
A67 Li 75.1 Venlo GO NL In,Limburg,Venlo,Venlo,51.384167,6.215833,Ja,,x,,,,,,,
02 Elsepasweg ri Doetinchem,Oost-Nederland,'s-Heerenberg,Montferland,51.868388,6.258652,,Ja,,x,,x,,x,,x
02 Elsepasweg ri Duitsland,Oost-Nederland,'s-Heerenberg,Montferland,51.868388,6.258652,,Ja,,x,,x,,x,,x
N355 Gron.str.wg ri. Zuidhorn,Noord-Nederland,Grijpskerk,Westerkwartier,53.265278,6.305833,Ja,,x,,x,,,,x,
N355 Gron.str.wg ri. Kollum,Noord-Nederland,Grijpskerk,Westerkwartier,53.265278,6.3075,Ja,,x,,x,,,,x,
N372 Noordholt x Oosteinde,Noord-Nederland,Roden,Noordenveld,53.14648,6.4551,Ja,,x,,x,,,,x,
N372 x Roderwolderweg,Noord-Nederland,Roden,Noordenveld,53.1463,6.4566,Ja,,x,,x,,,,x,
A28 Li 141.4 Hoogeveen,Noord-Nederland,Hoogeveen,Hoogeveen,52.712469,6.461997,Ja,,x,,x,,,,x,
A28 Re 141.4 Hoogeveen,Noord-Nederland,Hoogeveen,Hoogeveen,52.719804,6.465017,Ja,,x,,x,,,,x,
N372 x Bunnerveenseweg,Noord-Nederland,Peize,Noordenveld,53.148056,6.481944,Ja,,x,,x,,,,x,
N372 x Roderweg,Noord-Nederland,Peize,Noordenveld,53.148889,6.484722,Ja,,x,,x,,,,x,
A 7 Li 191.9 Groningen W,Noord-Nederland,Groningen,Groningen,53.20396,6.490521,Ja,,x,,x,,x,,,
A 7 Re 191.9 Groningen W,Noord-Nederland,Groningen,Groningen,53.20396,6.490521,Ja,,x,,x,,x,,,
01 Siersteenln ri Friesestrtwg,Noord-Nederland,Groningen,Groningen,53.22662,6.533462,,Ja,,x,,x,,,,x
N370 Friesestraatweg ri A7,Noord-Nederland,Groningen,Groningen,53.22735,6.53375,Ja,,x,,x,,,,x,
N370 Friesestraatweg ri N355,Noord-Nederland,Groningen,Groningen,53.22654,6.53434,Ja,,x,,x,,,,x,
N35 Nijverd.str x Nottermorswg,Oost-Nederland,Wierden,Wierden,52.359722,6.546667,Ja,,x,,x,,x,,x,
N35 Nijverd.str x Vossenboswg,Oost-Nederland,Wierden,Wierden,52.359722,6.547778,Ja,,x,,x,,x,,x,
01 Emmaviad. ri Julianapl,Noord-Nederland,Groningen,Groningen,53.206667,6.562222,,Ja,,x,,x,,,,x
01 Emmaviaduct ri Centrum,Noord-Nederland,Groningen,Groningen,53.206667,6.5625,,Ja,,x,,x,,,,x
N46 12.8 Groningen ri Nrdwolde,Noord-Nederland,Zuidwolde,Het Hogeland,53.262667,6.580997,Ja,,x,,x,,,,x,
N46 12.8 ri Groningen,Noord-Nederland,Zuidwolde,Het Hogeland,53.262667,6.580997,Ja,,x,,x,,,,x,
A 1 Li 133.6 Azelo West,Oost-Nederland,Azelo,Azelo,52.284307,6.588779,Ja,,x,,x,,x,,x,
A 1 Re 133.6 Azelo West,Oost-Nederland,Azelo,Azelo,52.284307,6.588779,Ja,,x,,x,,x,,x,
N360 x Geweideweg,Noord-Nederland,Garmerwolde,Groningen,53.2431,6.6539,Ja,,x,,x,,,,x,
02 Holstln x Weezebeeksngl,Oost-Nederland,Almelo,Almelo,52.3385,7,,Ja,,x,,,,x,,x
A35 Li 48.8 Azelo Noord,Oost-Nederland,Azelo,Azelo,52.321278,6.659941,Ja,,x,,x,,x,,x,
A 1 Re 141.6 Azelo Zuid,Oost-Nederland,Azelo,Azelo,52.308935,6.696785,Ja,,x,,x,,x,,x,
N319 Kottensewg ri Duitsland,Oost-Nederland,Kotten,Winterswijk,51.937721,6.793022,Ja,,x,,x,,x,,x,
N319 Kottensewg ri Winterswijk,Oost-Nederland,Kotten,Winterswijk,51.937721,6.793022,Ja,,x,,x,,x,,x,
N33 52.4 Rijksweg,Noord-Nederland,Siddeburen,Slochteren,53.2461,6.8761,Ja,,x,,x,,,,x,
N33 52.1 Rijksweg,Noord-Nederland,Siddeburen,Midden-Groningen,53.2438,6.8766,Ja,,x,,x,,,,x,
N33 Li 43.0 Veendam,Noord-Nederland,Meeden,Midden-Groningen,53.163035,6.895016,Ja,,x,,x,,,,x,
N33 Re 43.0 Veendam,Noord-Nederland,Meeden,Midden-Groningen,53.163035,6.895016,Ja,,x,,x,,,,x,
02 Kuipersdk x v. Deinseln,Oost-Nederland,Enschede,Enschede,52.20665,6.8956,,Ja,,x,,,,x,,x
N35 76.4 Enschede IN GO,Oost-Nederland,Enschede,Enschede,52.193611,6.961389,Ja,,x,,,,,,,
N35 76.4 Enschede IN GO,Oost-Nederland,Enschede,Enschede,52.193611,6.961389,Ja,,x,,x,,x,,x,
N35 76.4 Enschede UIT GO,Oost-Nederland,Enschede,Enschede,52.193611,6.961389,Ja,,x,,,,,,,
N35 76.4 Enschede UIT GO,Oost-Nederland,Enschede,Enschede,52.193611,6.961389,Ja,,x,,x,,x,,x,
A 1 Li 178.3 Oldenzaal GO,Oost-Nederland,Oldenzaal,Oldenzaal,52.313333,7.041944,Ja,,x,,,,,,,
A 1 Li 178.3 Oldenzaal GO,Oost-Nederland,Oldenzaal,Oldenzaal,52.313333,7.041944,Ja,,x,,x,,x,,x,
A 1 Re 178.3 Oldenzaal GO,Oost-Nederland,Oldenzaal,Oldenzaal,52.313333,7.041944,Ja,,x,,,,,,,
A 1 Re 178.3 Oldenzaal GO,Oost-Nederland,Oldenzaal,Oldenzaal,52.313333,7.041944,Ja,,x,,x,,x,,x,
A37 Re 42.1 Zwartemeer GO,Noord-Nederland,Zwartemeer,Emmen,52.7225,7.063333,Ja,,x,,x,,,,x,
A37 Li 42.1 Zwartemeer GO,Noord-Nederland,Zwartemeer,Emmen,52.722778,7.063333,Ja,,x,,x,,,,x,
A 7 Li 253.1 Bunde GO,Noord-Nederland,Bad Nieuwescha,Oldambt,53.180278,7.226111,Ja,,x,,x,,x,,,
A 7 Re 253.1 Bunde GO,Noord-Nederland,Bad Nieuwescha,Oldambt,53.180278,7.226111,Ja,,x,,x,,x,,,
