Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-CM-536,Viebrug zijde Intersport,52.09332,5.11665,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-SB-108,Verlengde Hoogravenseweg 203,52.06793,5.11664,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Binnensport: Hoograven
UTR-CM-515,Lange Elisabethstr / Bakkerstr / Steenweg,52.09076,5.11661,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-535,Drieharingstraat / Oudegracht,52.09210,5.11651,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-523,Mariaplaats thv tuin,52.08981,5.11619,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-577,Nijntje Pleintje,52.09636,5.11613,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-516,Achter Clarenburg / Voor Clarenburg,52.09079,5.11579,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-226,Nieuwekade,52.09630,5.115606,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-SB-138,t Goylaan,52.06690,5.11557,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Zuiderbrug
UTR-CM-664,Plein aangrenzend Grebbestraat,52.07611,5.11556,Tijdelijk,10/Oct/23,10/Apr/23,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-665,Mijdrechtstraat/Amaliadwarsstraat,52.07611,5.11556,Tijdelijk,10/Oct/23,10/Apr/23,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-524,Rijnkade / Mariaplaats,52.08960,5.11532,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-555,Moreelsepark thv inktpot,52.08812,5.1151,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-663,Plein Noordzeestraat,52.07611,5.11507,Tijdelijk,10/Oct/23,10/Apr/23,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-534,Vredenburg thv Drieharingstraat,52.09195,5.11504,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-759,ASW thv 218 / Goudsbloemstraat,52.09979,5.11489,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-526,Catharijnesingel / Moreelsepark,52.08925,5.11464,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-556,Laan van Puntenburg / Moreelsepark,52.08647,5.11462,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-533,Vredenburg / St.Jacobsstraat,52.09304,5.11457,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-OOR-001,Vredenburg - St. Jacobstraat,52.09298,5.114277,Vast,01/07/2020,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
